,,-1.0,1.0
14,25%,23.49425,29.959249999999997
14,50%,28.7155,40.0995
14,75%,38.774,53.9625
14,max,352.608,309.967
15,count,6628.0,3372.0
15,mean,-0.03733660229330115,-0.02753024911032031
15,std,1.276935138929456,1.09398973738793
15,min,-2.493,-2.468
15,25%,-1.042,-0.83725
15,50%,-0.052,-0.04
15,75%,0.94,0.76075
15,max,2.462,2.467
16,count,6628.0,3372.0
16,mean,-0.0067951116475557915,-0.0050308422301305715
16,std,1.8105747719836511,1.816355874368548
16,min,-3.14,-3.14
16,25%,-1.593,-1.562
16,50%,-0.024,-0.036000000000000004
16,75%,1.56525,1.56325
16,max,3.141,3.138
17,count,6628.0,3372.0
17,mean,46.94239257694637,45.395992882562254
17,std,22.043492486560687,20.58382308008058
17,min,26.004,26.006
17,25%,32.735,32.16925
17,50%,40.998,39.39
17,75%,53.54675,51.05375000000001
17,max,386.242,226.543
18,count,6628.0,3372.0
18,mean,-0.02959127942063972,-0.014715005931198118
18,std,1.3324760981917452,1.1214733852737633
18,min,-2.49,-2.47
18,25%,-1.163,-0.839
18,50%,-0.054,-0.0545
18,75%,1.06225,0.82
18,max,2.49,2.476
19,count,6628.0,3372.0
19,mean,0.018331321665660885,0.05911625148279961
19,std,1.8136236145139397,1.813052524847267
19,min,-3.141,-3.141
19,25%,-1.54725,-1.52025
19,50%,0.023,0.125
19,75%,1.60275,1.63625
19,max,3.141,3.137
20,count,6628.0,3372.0
20,mean,40.60810893180445,43.56509697508895
20,std,28.21487369750772,61.73801619199339
20,min,0.35,0.421
20,25%,23.47225,17.769750000000002
20,50%,35.468,31.939
20,75%,50.304500000000004,55.27125
20,max,373.29,2842.617
21,count,6628.0,3372.0
21,mean,-0.009120850935425464,-0.03713938315539732
21,std,1.8196340465618466,1.8166551270493791
21,min,-3.139,-3.142
21,25%,-1.5945,-1.649
21,50%,-0.058,-0.0245
21,75%,1.5665,1.531
21,max,3.141,3.138
22,count,6628.0,3372.0
22,mean,196.92167365721104,234.46538226571784
22,std,124.35474769231226,128.55898550421998
22,min,20.814,24.761
22,25%,113.5295,146.39724999999999
22,50%,164.40249999999997,208.173
22,75%,245.84775,290.78875
22,max,1125.021,1122.943
23,count,6628.0,3372.0
23,mean,0.8946891973445986,1.1651838671411625
23,std,0.9949694699974146,0.9501038345106955
23,min,0.0,0.0
23,25%,0.0,0.0
23,50%,1.0,1.0
23,75%,1.0,2.0
23,max,3.0,3.0
24,count,6628.0,3372.0
24,mean,81.3514917358599,90.90787268166149
24,std,41.51400825888723,54.27514185641062
24,min,30.01,30.025
24,25%,55.84475,60.258250000000004
24,50%,84.82210453270434,84.82210453270434
24,75%,84.82210453270434,93.638
24,max,513.299,582.435
25,count,6628.0,3372.0
25,mean,-0.00997727968351682,-0.01721993115878904
25,std,1.2115381309507705,1.6501349286456835
25,min,-4.378,-4.439
25,25%,-0.19225000000000003,-0.9662499999999999
25,50%,-0.0032745874059712044,-0.0032745874059712044
25,75%,0.151,0.92825
25,max,4.463,4.477
26,count,6628.0,3372.0
26,mean,-0.006143909691702215,-0.007038892815832122
26,std,1.331995416957139,1.5004555944495703
26,min,-3.141,-3.138
26,25%,-0.2705,-0.902
26,50%,-0.012392825494546494,-0.012392825494546494
26,75%,0.262,0.82475
26,max,3.137,3.141
27,count,6628.0,3372.0
27,mean,57.63281512098638,57.428282249924486
27,std,17.00246547078819,16.992103232143045
27,min,30.014,30.045
27,25%,57.67947442206691,57.67947442206691
27,50%,57.67947442206691,57.67947442206691
27,75%,57.67947442206691,57.67947442206691
27,max,359.779,281.541
28,count,6628.0,3372.0
28,mean,-0.015784462229470355,0.022293048624050158
28,std,0.9169191621740074,1.405473900721986
28,min,-4.441,-4.491
28,25%,-0.01184526418813669,-0.01184526418813669
28,50%,-0.01184526418813669,-0.01184526418813669
28,75%,-0.01184526418813669,-0.01184526418813669
28,max,4.46,4.476
29,count,6628.0,3372.0
29,mean,-0.001352564852572269,-0.008588768077816509
29,std,0.9113747431136854,1.106562584191872
29,min,-3.139,-3.138
29,25%,-0.001582289125070648,-0.001582289125070648
29,50%,-0.001582289125070648,-0.001582289125070648
29,75%,-0.001582289125070648,-0.001582289125070648
29,max,3.141,3.127
30,count,6628.0,3372.0
30,mean,63.26382347616158,92.41531553973903
30,std,94.90877846438744,101.34135057291587
30,min,0.0,0.0
30,25%,0.0,0.0
30,50%,33.8215,69.37049999999999
30,75%,90.453,140.10175
30,max,932.664,742.77
